,candidate,state,date,time_bucket,prop,abbreviation,party
1,Ben Carson,Alabama,March 1,26,10.2,AL,R
2,Ben Carson,Arkansas,March 1,26,5.7,AR,R
3,Ben Carson,Georgia,March 1,26,6.2,GA,R
4,Ben Carson,Iowa,February 1,22,9.3,IA,R
5,Ben Carson,Massachusetts,March 1,26,2.6,MA,R
6,Ben Carson,Nevada,February 23,25,4.8,NV,R
7,Ben Carson,New Hampshire,February 9,23,2.3,NH,R
8,Ben Carson,Oklahoma,March 1,26,6.2,OK,R
9,Ben Carson,South Carolina,February 20,24,,SC,R
10,Ben Carson,Tennessee,March 1,26,7.6,TN,R
11,Ben Carson,Texas,March 1,26,4.2,TX,R
12,Ben Carson,Vermont,March 1,26,4.2,VT,R
13,Ben Carson,Virginia,March 1,26,5.9,VA,R
14,Bernie Sanders,Alabama,March 1,26,19.2,AL,D
15,Bernie Sanders,Arizona,March 22,29,39.9,AZ,D
16,Bernie Sanders,Arkansas,March 1,26,29.7,AR,D
17,Bernie Sanders,Colorado,March 1,26,59,CO,D
18,Bernie Sanders,Florida,March 15,28,33.3,FL,D
19,Bernie Sanders,Georgia,March 1,26,28.2,GA,D
20,Bernie Sanders,Idaho,March 8,27,78,ID,D
21,Bernie Sanders,Illinois,March 15,28,48.7,IL,D
22,Bernie Sanders,Iowa,February 1,22,49.6,IA,D
23,Bernie Sanders,Louisiana,March 5,26,23.2,LA,D
24,Bernie Sanders,Maine,March 6,27,64.3,ME,D
25,Bernie Sanders,Massachusetts,March 1,26,48.7,MA,D
26,Bernie Sanders,Michigan,March 8,27,49.8,MI,D
27,Bernie Sanders,Mississippi,March 8,27,16.5,MS,D
28,Bernie Sanders,Missouri,March 15,28,49.4,MO,D
29,Bernie Sanders,Nebraska,March 5,26,57.1,NE,D
30,Bernie Sanders,Nevada,February 20,24,47.3,NV,D
31,Bernie Sanders,New Hampshire,February 9,23,60.4,NH,D
32,Bernie Sanders,North Carolina,March 15,28,40.8,NC,D
33,Bernie Sanders,Ohio,March 15,28,42.7,OH,D
34,Bernie Sanders,Oklahoma,March 1,26,51.9,OK,D
35,Bernie Sanders,South Carolina,February 27,25,26,SC,D
36,Bernie Sanders,Tennessee,March 1,26,32.4,TN,D
37,Bernie Sanders,Texas,March 1,26,33.2,TX,D
38,Bernie Sanders,Utah,March 22,29,79.3,UT,D
39,Bernie Sanders,Vermont,March 1,26,86.1,VT,D
40,Bernie Sanders,Virginia,March 1,26,35.2,VA,D
181,Bernie Sanders,Wyoming,April 9,31,55.7,WY,D
190,Bernie Sanders,Alaska,March 26,29,81.6,AK,D
192,Bernie Sanders,Hawaii,March 26,29,69.8,HI,D
194,Bernie Sanders,Washington,March 26,29,72.7,WA,D
202,Bernie Sanders,New York,April 19,33,42,NY,D
205,Bernie Sanders,Connecticut,April 26,34,46.4,CT,D
210,Bernie Sanders,Delaware,April 26,34,39.2,DE,D
217,Bernie Sanders,Maryland,April 26,34,33.2,MD,D
222,Bernie Sanders,Pennsylvania,April 26,34,43.6,PA,D
227,Bernie Sanders,Rhode Island,April 26,34,55,RI,D
229,Bernie Sanders,Indiana,May 3,35,52.5,IN,D
237,Bernie Sanders,West Virginia,May 10,36,51.4,WV,D
41,Carly Fiorina,Iowa,February 1,22,1.9,IA,R
42,Carly Fiorina,New Hampshire,February 9,23,4.1,NH,R
43,Chris Christie,Iowa,February 1,22,1.8,IA,R
44,Chris Christie,New Hampshire,February 9,23,7.4,NH,R
45,Donald Trump,Alabama,March 1,26,43.4,AL,R
46,Donald Trump,Arizona,March 22,29,47.1,AZ,R
47,Donald Trump,Arkansas,March 1,26,32.8,AR,R
48,Donald Trump,Florida,March 15,28,45.7,FL,R
49,Donald Trump,Georgia,March 1,26,38.8,GA,R
50,Donald Trump,Idaho,March 8,27,28.1,ID,R
51,Donald Trump,Illinois,March 15,28,38.8,IL,R
52,Donald Trump,Iowa,February 1,22,24.3,IA,R
53,Donald Trump,Kentucky,March 5,26,35.9,KY,R
54,Donald Trump,Louisiana,March 5,26,41.4,LA,R
55,Donald Trump,Massachusetts,March 1,26,49.3,MA,R
